Date,Open,High,Low
2018-04-02,33030.87,33289.34,32997.88
2018-04-03,33197.42,33402.94,33153.83
2018-04-04,33437.52,33505.53,32972.56
2018-04-05,33289.96,33637.46,33267.86
2018-04-06,33608.59,33697.51,33501.37
2018-04-09,33653.61,33846.5,33578.91
2018-04-10,33880.11,33949.98,33813.3
2018-04-11,33970.35,33981.54,33750.74
2018-04-12,33987.55,34177.44,33924.88
2018-04-13,34167.53,34313.14,34103.53
2018-04-16,33944.73,34341.46,33899.34
2018-04-17,34381.8,34434.14,34229.83
2018-04-18,34443.42,34591.81,34270.04
2018-04-19,34403.67,34478.82,34358.91
2018-04-20,34434.14,34487.33,34311.29
2018-04-23,34493.69,34663.95,34259.27
2018-04-24,34491.38,34706.71,34465.49
2018-04-25,34593.17,34631.27,34400.56
2018-04-26,34532.95,34747.97,34505.62
2018-04-27,34747.04,35065.37,34744.73
2018-04-30,35021.2,35213.3,35004.0
2018-05-02,35328.91,35357.15,35072.42
2018-05-03,35257.31,35257.31,35020.08
2018-05-04,35144.96,35206.55,34847.61
2018-05-07,34983.59,35259.81,34977.74
2018-05-08,35349.85,35388.87,35136.01
2018-05-09,35198.08,35404.83,35134.2
2018-05-10,35353.96,35500.76,35203.85
2018-05-11,35287.99,35596.15,35262.06
2018-05-14,35555.83,35642.72,35456.56
2018-05-15,35537.85,35993.53,35497.92
2018-05-16,35452.35,35543.89,35241.63
2018-05-17,35483.62,35510.01,35087.82
2018-05-18,35143.59,35163.11,34821.62
2018-05-21,34873.16,34973.95,34593.82
2018-05-22,34601.49,34754.6,34550.22
2018-05-23,34656.63,34668.47,34302.89
2018-05-24,34404.14,34741.46,34367.83
2018-05-25,34753.47,35017.93,34700.52
2018-05-28,35074.32,35240.96,35006.5
2018-05-29,35213.14,35234.14,34922.18
2018-05-30,34876.13,35017.45,34735.11
2018-05-31,35083.81,35416.03,34926.08
2018-06-01,35373.98,35438.22,35177.35
2018-06-04,35503.24,35555.59,34982.25
2018-06-05,35029.45,35073.12,34784.68
2018-06-06,34932.49,35230.54,34896.37
2018-06-07,35278.38,35628.49,35278.38
2018-06-08,35406.47,35484.94,35260.0
2018-06-11,35472.59,35704.84,35444.49
2018-06-12,35525.3,35743.08,35479.07
2018-06-13,35835.44,35877.41,35715.96
2018-06-14,35743.1,35749.88,35488.55
2018-06-15,35656.26,35675.2,35419.68
2018-06-18,35698.43,35721.55,35518.73
2018-06-19,35552.47,35552.47,35249.06
2018-06-20,35329.61,35571.37,35329.51
2018-06-21,35644.05,35678.69,35396.97
2018-06-22,35428.42,35741.26,35344.49
2018-06-25,35783.75,35806.97,35430.11
2018-06-26,35355.72,35616.64,35338.09
2018-06-27,35543.89,35618.85,35154.21
2018-06-28,35207.19,35282.4,34937.15
2018-06-29,35128.16,35459.05,35099.65
2018-07-02,35545.22,35578.24,35106.57
2018-07-03,35344.21,35445.21,35195.63
2018-07-04,35385.52,35667.31,35309.67
2018-07-05,35703.17,35748.26,35517.79
2018-07-06,35543.66,35799.71,35532.21
2018-07-09,35835.1,35977.37,35779.72
2018-07-10,36068.27,36274.33,36019.63
2018-07-11,36299.26,36362.3,36169.7
2018-07-12,36424.23,36699.53,36422.08
2018-07-13,36635.14,36740.07,36501.61
2018-07-16,36658.71,36658.71,36298.94
2018-07-17,36390.99,36549.55,36261.78
2018-07-18,36722.41,36747.87,36320.92
2018-07-19,36509.08,36515.58,36279.33
2018-07-20,36377.03,36567.34,36335.61
2018-07-23,36501.05,36749.69,36491.83
2018-07-24,36859.39,36902.06,36709.72
2018-07-25,36928.06,36947.18,36803.15
2018-07-26,36928.38,37061.62,36852.53
2018-07-27,37253.86,37368.62,37134.88
2018-07-30,37491.39,37533.5,37292.45
2018-07-31,37534.95,37644.59,37298.75
2018-08-01,37643.87,37711.87,37432.91
2018-08-02,37529.69,37529.69,37128.99
2018-08-03,37327.16,37582.27,37319.61
2018-08-06,37714.7,37805.25,37643.29
2018-08-07,37849.21,37876.87,37586.88
2018-08-08,37756.24,37931.42,37641.4
2018-08-09,37994.51,38076.23,37939.28
2018-08-10,38050.07,38051.45,37815.75
2018-08-13,37693.19,37799.54,37559.26
2018-08-14,37749.59,37932.4,37689.71
2018-08-16,37796.01,37891.92,37634.13
2018-08-17,37898.6,38022.32,37840.16
2018-08-20,38075.07,38340.69,38050.69
2018-08-21,38360.32,38402.96,38213.87
2018-08-23,38416.65,38487.63,38227.36
2018-08-24,38366.79,38429.5,38172.77
2018-08-27,38472.03,38736.88,38416.73
2018-08-28,38814.76,38938.91,38760.58
2018-08-29,38989.65,38989.65,38679.57
2018-08-30,38796.98,38819.06,38581.83
2018-08-31,38704.84,38838.45,38562.21
2018-09-03,38915.91,38934.35,38270.01
2018-09-04,38460.96,38518.56,38098.6
